category,distance,end_x,end_y,gap_seconds,match_id,minute,note,outcome,second,start_minute,start_second,type,x,y
carries,60.27,62.0,9.6,4,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,47,29,,70.3,69.3
carries,18.83,69.6,26.2,8,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,48,15,,82.3,12.3
carries,6.08,40.8,34.8,1,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,49,27,,36.6,30.4
carries,10.2,61.6,64.6,3,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,52,38,,61.3,54.4
carries,10.3,59.3,60.9,2,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,52,41,,59.0,50.6
carries,15.46,57.8,62.7,4,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,52,43,,56.4,47.3
carries,5.85,63.9,78.0,4,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,52,47,,67.1,82.9
carries,19.24,44.4,36.2,8,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,67,46,,31.0,22.4
carries,9.96,83.2,25.2,3,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,70,25,,89.0,17.1
carries,14.24,87.2,15.8,5,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,70,28,,89.2,29.9
carries,5.55,27.9,79.4,3,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,73,10,,31.0,84.0
carries,32.73,46.3,50.5,5,1983568,,"derived (gap+distance heuristic), not a native WhoScored event",,,73,30,,25.3,75.6
